# sr=500,duration=190.424688
-0.015518,0.007004
-0.011673,0.010422
-0.011459,0.013153
-0.010651,0.015396
-0.009644,0.010300
-0.011230,0.007248
-0.015396,0.003830
-0.011139,0.008560
-0.009201,0.009201
-0.010178,0.013016
-0.010284,0.014709
-0.015198,0.013901
-0.012894,0.005981
-0.011032,0.005219
-0.009888,0.012451
-0.008301,0.013901
-0.007034,0.012192
-0.010147,0.009216
-0.010880,0.011261
-0.011353,0.007111
-0.011505,0.002411
-0.008835,0.011444
-0.005249,0.009949
-0.007767,0.011612
-0.013443,0.009216
-0.013443,0.009430
-0.008102,0.005676
-0.007416,0.005508
-0.004761,0.013550
-0.009995,0.012878
-0.008453,0.012955
-0.014755,0.003098
-0.011276,0.006958
-0.009674,0.007156
-0.001282,0.006012
-0.005173,0.013611
-0.009354,0.011398
-0.008728,0.007996
-0.010330,0.004974
-0.006363,0.007385
-0.011124,0.008530
-0.006866,0.008636
-0.006821,0.012863
-0.010864,0.015427
-0.004791,0.004272
-0.008347,0.000610
-0.008667,0.005493
-0.007736,0.010315
-0.005157,0.014114
-0.011642,0.009109
-0.011200,0.015930
-0.007614,0.004898
-0.006683,0.001434
-0.010895,0.011688
-0.010437,0.010208
-0.001251,0.012527
-0.007858,0.007523
-0.009293,0.007675
-0.009003,0.004929
-0.006454,0.006332
-0.011688,0.015030
-0.008240,0.011810
-0.004837,0.009064
-0.010056,0.008362
-0.008423,0.003876
-0.011047,0.006592
-0.005905,0.006104
-0.010468,0.011566
-0.007141,0.012939
-0.003387,0.008209
-0.010620,0.003220
-0.010788,0.009018
-0.012512,0.007309
-0.009720,0.008789
-0.005859,0.008728
-0.005051,0.010635
-0.003281,0.008926
-0.006607,0.004059
-0.012695,0.004990
-0.009918,0.007126
-0.003464,0.008057
-0.005569,0.010315
-0.006668,0.008591
-0.006378,0.002625
-0.006912,0.002731
-0.010513,0.007523
-0.007538,0.005875
-0.002380,0.007935
-0.003113,0.005966
-0.003479,0.004639
-0.007111,0.003693
-0.008789,0.003113
-0.006989,0.006317
-0.003189,0.007050
-0.001877,0.005310
-0.004578,0.003891
-0.005203,0.004272
-0.008377,0.004868
-0.004868,0.004318
-0.004745,0.004776
-0.000534,0.004944
-0.001205,0.006836
-0.004333,0.004959
-0.004959,0.000229
-0.004944,0.002670
-0.004974,0.002991
-0.000793,0.006134
-0.001053,0.004333
-0.000824,0.004318
-0.004745,0.003082
-0.008087,0.001434
-0.004990,0.003448
-0.002960,0.003922
-0.003250,0.006409
-0.003342,0.005936
-0.001694,0.003998
-0.006989,0.000259
-0.004700,0.003677
-0.005234,0.005447
-0.000946,0.003128
-0.002197,0.005127
-0.002563,0.003311
-0.003937,0.005081
-0.008621,0.000931
-0.005219,0.005386
-0.004791,0.008118
-0.003204,0.009552
-0.001389,0.003281
-0.006195,0.006256
-0.008377,0.006241
-0.006149,0.002350
-0.005768,0.003006
-0.004990,0.004700
-0.003174,0.010727
-0.003571,0.002563
-0.005173,0.004028
-0.007874,0.007584
-0.008469,0.003326
-0.003448,0.004303
-0.007095,0.006256
-0.002853,0.011108
-0.006073,0.006287
-0.009201,0.005234
-0.010544,0.010132
-0.005539,0.006622
-0.001831,0.005005
-0.004501,0.007477
-0.005692,0.007645
-0.007965,0.005386
-0.004471,0.004059
-0.009308,0.006760
-0.005478,0.008636
-0.004761,0.005386
-0.006485,0.008118
